model,weight_decay,dropout_rate,learning_rate,epoch,metric,value
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,0,Loss/Train,6.902865886688232
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,1,Loss/Train,5.62217903137207
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,2,Loss/Train,5.216179847717285
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,3,Loss/Train,4.973643779754639
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,4,Loss/Train,4.805997371673584
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,0,Loss/Validation,6.0499749183654785
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,1,Loss/Validation,5.604970455169678
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,2,Loss/Validation,5.39285135269165
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,3,Loss/Validation,5.271523475646973
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,4,Loss/Validation,5.197235584259033
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,0,Train/precision@1,0.07318250089883804
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,1,Train/precision@1,0.14033499360084534
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,2,Train/precision@1,0.1773499995470047
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,3,Train/precision@1,0.20031249523162842
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,4,Train/precision@1,0.21616500616073608
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,0,Train/precision@5,0.03360249847173691
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,1,Train/precision@5,0.055165499448776245
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,2,Train/precision@5,0.06503400206565857
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,3,Train/precision@5,0.07129549980163574
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,4,Train/precision@5,0.07565650343894958
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,0,Train/precision@10,0.022947749122977257
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,1,Train/precision@10,0.03560525178909302
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,2,Train/precision@10,0.04106200113892555
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,3,Train/precision@10,0.044388748705387115
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,4,Train/precision@10,0.046774499118328094
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,0,Train/precision@20,0.015307375229895115
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,1,Train/precision@20,0.022431375458836555
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,2,Train/precision@20,0.025253500789403915
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,3,Train/precision@20,0.02696487493813038
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,4,Train/precision@20,0.028211625292897224
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,0,Train/recall@1,0.07318250089883804
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,1,Train/recall@1,0.14033499360084534
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,2,Train/recall@1,0.1773499995470047
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,3,Train/recall@1,0.20031249523162842
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,4,Train/recall@1,0.21616500616073608
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,0,Train/recall@5,0.16801249980926514
graph_with_embeddings_and_attentional_aggregation_wd1e-06_dr0.0_lr0.0001,1e-06,0.0,0.0001,1,Train/recall@5,0.2758274972438812
