model,weight_decay,dropout_rate,learning_rate,epoch,metric,value
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,0,Loss/Train,6.972598075866699
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,1,Loss/Train,6.098343372344971
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,2,Loss/Train,5.901124954223633
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,3,Loss/Train,5.806820869445801
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,4,Loss/Train,5.74694299697876
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,0,Loss/Validation,6.002549648284912
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,1,Loss/Validation,5.747023582458496
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,2,Loss/Validation,5.655862331390381
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,3,Loss/Validation,5.606780529022217
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,4,Loss/Validation,5.580509662628174
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,0,Train/precision@1,0.04484250023961067
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,1,Train/precision@1,0.06896749883890152
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,2,Train/precision@1,0.07958749681711197
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,3,Train/precision@1,0.08537749946117401
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,4,Train/precision@1,0.08896999806165695
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,0,Train/precision@5,0.029763000085949898
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,1,Train/precision@5,0.04278400167822838
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,2,Train/precision@5,0.04732050001621246
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,3,Train/precision@5,0.04978499934077263
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,4,Train/precision@5,0.051224999129772186
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,0,Train/precision@10,0.02231675013899803
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,1,Train/precision@10,0.03077075071632862
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,2,Train/precision@10,0.03341349959373474
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,3,Train/precision@10,0.034794751554727554
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,4,Train/precision@10,0.035647500306367874
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,0,Train/precision@20,0.015689749270677567
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,1,Train/precision@20,0.02066812478005886
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,2,Train/precision@20,0.02208787575364113
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,3,Train/precision@20,0.022809624671936035
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,4,Train/precision@20,0.023262374103069305
graph_with_embeddings_wd1e-06_dr0.5_lr0.001,1e-06,0.5,0.001,0,Train/recall@1,0.04484250023961067
