model,weight_decay,dropout_rate,learning_rate,epoch,metric,value
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,14,Loss/Train,5.12485408782959
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,15,Loss/Train,5.033315181732178
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,16,Loss/Train,5.01963472366333
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,14,Loss/Validation,5.08897066116333
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,15,Loss/Validation,5.0822319984436035
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,16,Loss/Validation,5.083039283752441
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,14,Train/precision@1,0.2454846352338791
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,15,Train/precision@1,0.2494288831949234
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,16,Train/precision@1,0.24990078806877136
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,14,Train/precision@5,0.07994529604911804
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,15,Train/precision@5,0.08116886764764786
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,16,Train/precision@5,0.08135217428207397
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,14,Train/precision@10,0.048200573772192
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,15,Train/precision@10,0.04894206300377846
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,16,Train/precision@10,0.04904835671186447
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,14,Train/precision@20,0.028392480686306953
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,15,Train/precision@20,0.028819333761930466
simple_sr_gnn_attn_wd1e-05_dr0.5_lr0.001,1e-05,0.5,0.001,16,Train/precision@20,0.028881283476948738
